Zone,Population
Afghanistan,36296113.0
Afrique du Sud,57009756.0
Albanie,2884169.0
Algérie,41389189.0
Allemagne,82658409.0
Andorre,77001.0
Angola,29816766.0
Anguilla,14584.0
Antigua-et-Barbuda,95426.0
Antilles néerlandaises (ex),275186.0
Arabie saoudite,33101178.999999996
Argentine,43937140.0
Arménie,2944791.0
Aruba,105366.0
Australie,24584620.0
Autriche,8819901.0
Azerbaïdjan,9845320.0
Bahamas,381755.0
Bahreïn,1494076.0
Bangladesh,159685424.0
Barbade,286232.0
Bélarus,9450231.0
Belgique,11419748.0
Belize,375769.0
Bénin,11175198.0
Bermudes,63049.0
Bhoutan,745563.0
Bolivie (État plurinational de),11192855.0
"Bonaire, Saint-Eustache et Saba",25401.0
Bosnie-Herzégovine,3351525.0
Botswana,2205080.0
Brésil,207833823.0
Brunéi Darussalam,424473.0
Bulgarie,7102444.0
Burkina Faso,19193234.0
Burundi,10827019.0
Cabo Verde,537498.0
Cambodge,16009409.0
Cameroun,24566073.0
Canada,36732095.0
Chili,18470439.0
Chine - RAS de Hong-Kong,7306322.0
Chine - RAS de Macao,622585.0
"Chine, continentale",1421021791.0
"Chine, Taiwan Province de",23674546.0
Chypre,1179678.0
Colombie,48909839.0
Comores,813892.0
Congo,5110695.0
Costa Rica,4949954.0
Côte d'Ivoire,24437470.0
Croatie,4182857.0
Cuba,11339254.0
Curaçao,161997.0
Danemark,5732274.0
Djibouti,944099.0
Dominique,71458.0
Égypte,96442591.0
El Salvador,6388126.0
Émirats arabes unis,9487203.0
Équateur,16785361.0
Érythrée,3412893.0
Espagne,46647428.0
Estonie,1319390.0
Eswatini,1124805.0
États-Unis d'Amérique,325084756.0
Éthiopie,106399924.0
Fédération de Russie,145530082.0
Fidji,877459.0
Finlande,5511371.0
France,64842509.0
Gabon,2064822.9999999998
Gambie,2213889.0
Géorgie,4008716.0
Ghana,29121465.0
Gibraltar,33728.0
Grèce,10569450.0
Grenade,110874.0
Groenland,56481.0
Guadeloupe,399672.0
Guam,164281.0
Guatemala,16914970.0
Guinée,12067519.0
Guinée équatoriale,1262002.0
Guinée-Bissau,1828145.0
Guyana,775222.0
Guyane française,275191.0
Haïti,10982366.0
Honduras,9429013.0
Hongrie,9729823.0
Île de Man,83598.0
Îles Anglo-Normandes,168665.0
Îles Caïmanes,63382.0
Îles Cook,17507.0
Îles Falkland (Malvinas),3068.0
Îles Féroé,48331.0
Îles Mariannes du Nord,56562.0
Îles Marshall,58058.0
Îles Salomon,636039.0
Îles Turques-et-Caïques,37115.0
Îles Vierges américaines,104751.0
Îles Vierges britanniques,29577.0
Îles Wallis-et-Futuna,11900.0
Inde,1338676785.0
Indonésie,264650963.0
Iran (République islamique d'),80673883.0
Iraq,37552781.0
Irlande,4753279.0
Islande,334393.0
Israël,8243848.0
Italie,60673701.0
Jamaïque,2920848.0
Japon,127502725.0
Jordanie,9785843.0
Kazakhstan,18080019.0
Kenya,50221142.0
Kirghizistan,6189733.0
Kiribati,114158.0
Koweït,4056099.0
Lesotho,2091534.0
Lettonie,1951097.0
Liban,6819373.0
Libéria,4702226.0
Libye,6580724.0
Liechtenstein,37800.0
Lituanie,2845414.0
Luxembourg,591910.0
Macédoine du Nord,2081996.0
Madagascar,25570512.0
Malaisie,31104646.0
Malawi,17670196.0
Maldives,496402.0
Mali,18512430.0
Malte,437933.0
Maroc,35581255.0
Martinique,375948.0
Maurice,1264499.0
Mauritanie,4282570.0
Mayotte,252957.0
Mexique,124777324.0
Micronésie (États fédérés de),111459.0
Monaco,38392.0
Mongolie,3113786.0
Monténégro,627563.0
Montserrat,4984.0
Mozambique,28649018.0
Myanmar,53382523.0
Namibie,2402633.0
Nauru,10573.0
Népal,27632681.0
Nicaragua,6384846.0
Niger,21602382.0
Nigéria,190873244.0
Nioué,1609.0
Norvège,5296326.0
Nouvelle-Calédonie,277150.0
Nouvelle-Zélande,4702034.0
Oman,4665928.0
Ouganda,41166588.0
Ouzbékistan,31959785.0
Pakistan,207906209.0
Palaos,17808.0
Palestine,4747227.0
Panama,4106769.0
Papouasie-Nouvelle-Guinée,8438036.0
Paraguay,6867061.0
Pays-Bas,17021347.0
Pérou,31444298.0
Philippines,105172925.0
Pologne,37953180.0
Polynésie française,276102.0
Porto Rico,3163667.0
Portugal,10288527.0
Qatar,2724728.0
République arabe syrienne,17095678.0
République centrafricaine,4596023.0
République de Corée,51096415.0
République de Moldova,4059684.0
République démocratique du Congo,81398764.0
République démocratique populaire lao,6953035.0
République dominicaine,10513104.0
République populaire démocratique de Corée,25429825.0
République-Unie de Tanzanie,54660339.0
Réunion,876134.0
Roumanie,19653969.0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,66727460.99999999
Rwanda,11980961.0
Sahara occidental,552615.0
Saint-Barthélemy,9784.0
"Sainte-Hélène, Ascension et Tristan da Cunha",6008.0
Sainte-Lucie,180954.0
Saint-Kitts-et-Nevis,52045.0
Saint-Marin,33671.0
Saint-Martin (partie française),36560.0
Saint-Pierre-et-Miquelon,5887.0
Saint-Siège,793.0
Saint-Vincent-et-les Grenadines,109827.0
Samoa,195352.0
Samoa américaines,55620.0
Sao Tomé-et-Principe,207089.0
Sénégal,15419355.0
Serbie,8829628.0
Seychelles,96418.0
Sierra Leone,7488423.0
Singapour,5708041.0
Sint Maarten  (partie néerlandaise),41444.0
Slovaquie,5447900.0
Slovénie,2076393.9999999998
Somalie,14589179.0
Soudan,40813397.0
Soudan du Sud,10910763.0
Sri Lanka,21128032.0
Suède,9904896.0
Suisse,8455804.0
Suriname,570496.0
Tadjikistan,8880268.0
Tchad,15016753.0
Tchéquie,10641034.0
Thaïlande,69209810.0
Timor-Leste,1243258.0
Togo,7698474.0
Tokélaou,1300.0
Tonga,101998.0
Trinité-et-Tobago,1384059.0
Tunisie,11433443.0
Turkménistan,5757667.0
Turquie,81116450.0
Tuvalu,11370.0
Ukraine,44487709.0
Uruguay,3436641.0
Vanuatu,285510.0
Venezuela (République bolivarienne du),29402484.0
Viet Nam,94600648.0
Yémen,27834819.0
Zambie,16853599.0
Zimbabwe,14236595.0
